source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,5-7,trial,An officer remains on probation primarily to allow government to:,Assess long-term pension rights,Test suitability and conduct,Prepare retirement documents,Determine tax category,B,Probation evaluates performance and behavior before confirmation.,psr
PSR 2021,5-7,trial,"If misconduct is suspected but not proven, the most appropriate immediate action is:",Dismissal,Interdiction,Promotion delay,Transfer,B,Interdiction allows investigation while protecting service integrity.,psr
PSR 2021,5-7,trial,An established post is important because it:,Guarantees political appointment,Ensures budgeted permanence,Provides foreign allowance,Allows private employment,B,Established posts are permanently funded.,psr
PSR 2021,5-7,trial,A ministry’s administrative efficiency depends mainly on the leadership of the:,Minister,Permanent Secretary,Accountant General,Union chairman,B,The Permanent Secretary directs administration.,psr
PSR 2021,5-7,trial,An officer who fails probation demonstrates:,Unsuitable service performance,Political disloyalty,Financial misconduct,Health incapacity,A,Failure indicates unfitness for service.,psr
PSR 2021,5-7,trial,Suspension is applied when continued presence may:,Improve morale,Interfere with investigation,Increase productivity,Delay training,B,Suspension prevents interference with inquiry.,psr
PSR 2021,5-7,trial,The distinction between junior and senior officers affects:,Salary only,Responsibility and authority,Leave entitlement,Uniform allowance,B,Classification determines administrative responsibility.,psr
PSR 2021,5-7,trial,Confirmation of appointment strengthens:,Temporary status,Permanent employment rights,Training duration,Foreign posting,B,Confirmation secures permanent employment.,psr
PSR 2021,5-7,trial,Public Service Rules primarily promote:,Uniform governance standards,Private competition,Foreign investment,Trade expansion,A,PSR standardizes governance conduct.,psr
PSR 2021,5-7,trial,Interdiction balances fairness by:,Punishing immediately,Allowing investigation with partial pay,Stopping promotion permanently,Removing pension,B,Half pay maintains fairness during inquiry.,psr
PSR 2021,5-7,exam,Probation encourages officers to:,Demonstrate competence early,Avoid responsibility,Seek transfer,Delay performance,A,Probation motivates performance evaluation.,psr
PSR 2021,5-7,exam,An effective Permanent Secretary ensures:,Administrative continuity,Political dominance,Union control,External contracts,A,Continuity stabilizes ministry operations.,psr
PSR 2021,5-7,exam,Suspension protects organizational integrity by:,Preventing evidence interference,Increasing penalties,Reducing salary scale,Forcing resignation,A,It prevents obstruction of investigation.,psr
PSR 2021,5-7,exam,Established posts contribute to:,Workforce stability,Temporary staffing,External hiring,Volunteer service,A,They ensure stable staffing.,psr
PSR 2021,5-7,exam,Interdiction differs from suspension because it:,Maintains partial salary,Ends employment immediately,Guarantees promotion,Allows private work,A,Interdiction retains half salary.,psr
PSR 2021,5-7,exam,Confirmation improves service by:,Retaining competent officers,Reducing workforce,Increasing turnover,Delaying promotion,A,Confirmation keeps capable staff.,psr
PSR 2021,5-7,exam,Officer classification influences:,Decision authority only,Scope of administrative duties,Uniform color,Office location,B,Rank determines duty scope.,psr
PSR 2021,5-7,exam,PSR enforcement ensures:,Predictable service standards,Private profit growth,International recognition,Military discipline,A,It stabilizes operational standards.,psr
PSR 2021,5-7,exam,A probation extension suggests:,Need for further evaluation,Automatic dismissal,Immediate promotion,Transfer abroad,A,Extension allows reassessment.,psr
PSR 2021,5-7,exam,Administrative leadership affects:,Policy execution efficiency,Weather conditions,Exchange rates,Foreign relations,A,Leadership drives effective execution.,psr
PSR 2021,5-7,exam,An officer under interdiction is expected to:,Remain available for investigation,Seek private employment,Leave the country,Ignore official communication,A,Interdicted officers must remain accessible during investigation.,psr
PSR 2021,5-7,exam,The primary purpose of probation assessment reports is to:,Guide confirmation decisions,Determine pension rights,Assign office space,Calculate allowances,A,Reports inform whether confirmation is appropriate.,psr
PSR 2021,5-7,exam,Suspension without investigation would undermine:,Administrative fairness,Salary structure,Office logistics,Promotion timelines,A,Fairness requires proper investigation.,psr
PSR 2021,5-7,exam,An established post exists mainly to ensure:,Continuity of public service delivery,Temporary staffing flexibility,Private sector cooperation,Political neutrality,A,Permanent posts sustain service continuity.,psr
PSR 2021,5-7,exam,Confirmation reinforces organizational stability by:,Reducing staff turnover,Encouraging resignation,Limiting training,Restricting promotion,A,Permanent staff promote stability.,psr
PSR 2021,5-7,exam,Officer classification affects supervision because it determines:,Chain of command structure,Uniform color code,Office furniture type,Leave destination,A,Hierarchy defines reporting relationships.,psr
PSR 2021,5-7,exam,A probationary officer demonstrating excellence is likely to receive:,Early confirmation consideration,Immediate promotion,Automatic transfer,Foreign posting,A,Outstanding performance supports confirmation.,psr
PSR 2021,5-7,exam,Interdiction supports ethical governance by:,Protecting investigative neutrality,Reducing salary expenses,Encouraging competition,Limiting recruitment,A,Neutral investigations preserve ethics.,psr
PSR 2021,5-7,exam,The Permanent Secretary ensures policy success through:,Administrative coordination,Political campaigning,Private negotiation,Media relations,A,Coordination aligns operations with policy.,psr
PSR 2021,5-7,exam,Suspension is justified when an officer’s presence may:,Compromise evidence,Increase morale,Delay payroll,Enhance productivity,A,Presence could obstruct investigation.,psr
PSR 2021,5-7,exam,Probation serves as an early warning system for:,Performance deficiencies,Retirement planning,Office relocation,Budget forecasting,A,It identifies capability gaps early.,psr
PSR 2021,5-7,exam,Established staffing structures primarily promote:,Operational consistency,Temporary experimentation,External hiring,Volunteer engagement,A,Consistency supports service reliability.,psr
PSR 2021,5-7,exam,Confirmation decisions rely heavily on:,Performance evaluations,Political affiliation,Age of officer,Office location,A,Evaluations determine suitability.,psr
PSR 2021,5-7,exam,Interdicted officers retain partial salary to:,Ensure fairness during inquiry,Encourage resignation,Prevent litigation,Support promotion,A,Half pay balances fairness and caution.,psr
PSR 2021,5-7,exam,Administrative hierarchy improves efficiency by:,Clarifying responsibility lines,Reducing staff numbers,Eliminating supervision,Centralizing salaries,A,Clear authority speeds decisions.,psr
PSR 2021,5-7,exam,Suspension protects institutional reputation by:,Demonstrating accountability,Increasing secrecy,Reducing publicity,Limiting training,A,It signals commitment to accountability.,psr
PSR 2021,5-7,exam,Probation extension indicates management requires:,Additional performance evidence,Immediate dismissal,Promotion review,Transfer approval,A,More evidence is needed for decision.,psr
PSR 2021,5-7,exam,Effective PSR implementation leads to:,Predictable administrative behavior,Private sector expansion,Reduced taxation,Military reform,A,Rules standardize administrative conduct.,psr
PSR 2021,5-7,exam,Officer rank influences delegation because it defines:,Scope of authority,Office decoration,Travel privileges,Uniform allowance,A,Authority scope determines delegation.,psr
PSR 2021,5-7,exam,Confirmation enhances morale by providing:,Job security,Immediate promotion,Extra allowances,Foreign posting,A,Security motivates commitment.,psr
PSR 2021,5-7,exam,An officer on probation is closely supervised mainly to:,Ensure service standards are met,Reduce salary costs,Delay promotion,Prepare retirement,A,Close supervision confirms competence.,psr
PSR 2021,5-7,exam,Interdiction demonstrates administrative commitment to:,Due process and fairness,Rapid punishment,Immediate dismissal,Cost reduction,A,It ensures investigations follow due process.,psr
PSR 2021,5-7,exam,Established posts are essential for:,Sustainable workforce planning,Temporary employment schemes,Political appointments,Volunteer staffing,A,Permanent posts support workforce planning.,psr
PSR 2021,5-7,exam,Confirmation protects the service by:,Retaining proven officers,Increasing turnover,Reducing accountability,Limiting recruitment,A,Proven officers strengthen institutions.,psr
PSR 2021,5-7,exam,Suspension is an example of:,Preventive disciplinary control,Permanent removal,Promotion strategy,Training management,A,It prevents interference during inquiry.,psr
PSR 2021,5-7,exam,Officer hierarchy contributes to:,Efficient command flow,Office decoration,Salary uniformity,Travel scheduling,A,Hierarchy clarifies command structure.,psr
PSR 2021,5-7,exam,Probation evaluation emphasizes:,Competence and conduct,Political loyalty,Family background,External income,A,Performance and behavior are key.,psr
PSR 2021,5-7,exam,Interdicted officers must cooperate to:,Facilitate investigation,Secure promotion,Transfer departments,Access benefits,A,Cooperation ensures fair inquiry.,psr
PSR 2021,5-7,exam,Administrative continuity is best preserved through:,Stable leadership structures,Frequent transfers,Temporary contracts,Volunteer staffing,A,Stable leadership sustains operations.,psr
PSR 2021,5-7,exam,Suspension communicates to the public that:,Accountability is enforced,Secrecy is maintained,Promotion is pending,Training is delayed,A,It shows disciplinary accountability.,psr
PSR 2021,5-7,exam,Established positions reduce risk of:,Operational disruption,Salary inflation,Foreign competition,Political conflict,A,Permanent staffing prevents disruption.,psr
PSR 2021,5-7,exam,Confirmation decisions must prioritize:,Service efficiency,Political considerations,External influence,Personal relationships,A,Efficiency is the primary concern.,psr
PSR 2021,5-7,exam,Probation helps management identify:,Training needs early,Pension eligibility,Office allocation,Transfer routes,A,Early detection supports development.,psr
PSR 2021,5-7,exam,Interdiction maintains confidence in:,Investigative neutrality,Salary systems,Office logistics,Travel policies,A,Neutral inquiry builds trust.,psr
PSR 2021,5-7,exam,Officer classification improves management by:,Defining authority boundaries,Reducing staff numbers,Increasing secrecy,Limiting recruitment,A,Clear boundaries guide decisions.,psr
PSR 2021,5-7,exam,Suspension is lifted after:,Investigation resolution,Salary review,Promotion exam,Training completion,A,Outcome of inquiry determines lifting.,psr
PSR 2021,5-7,exam,Permanent Secretaries ensure ministries operate with:,Administrative discipline,Political favoritism,Private influence,External funding,A,They enforce discipline and order.,psr
PSR 2021,5-7,exam,Confirmation supports workforce morale by:,Creating stability,Encouraging turnover,Reducing responsibility,Limiting authority,A,Stability improves morale.,psr
PSR 2021,5-7,exam,Probation failure indicates:,Unsuitability for continued service,Immediate retirement,Automatic transfer,Promotion eligibility,A,Failure means officer is unfit.,psr
PSR 2021,5-7,exam,Effective PSR application results in:,Consistent service delivery,Increased privatization,Reduced staffing,External outsourcing,A,Consistency is the main outcome.,psr
