source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,15-16,trial,A director discovers systemic probation failures across departments. The most appropriate executive action is to:,Initiate structural performance reforms,Ignore isolated cases,Delegate without oversight,Delay intervention,A,Directors must address systemic weaknesses strategically.,psr
PSR 2021,15-16,trial,"When a suspension case risks public distrust, a director should prioritize:",Transparent and lawful procedure,Speed over fairness,Confidential secrecy,Political negotiation,A,Transparency preserves institutional legitimacy.,psr
PSR 2021,15-16,trial,Executive leadership must ensure disciplinary systems are:,Consistent across departments,Flexible by preference,Politically adaptable,Informally managed,A,Consistency protects governance integrity.,psr
PSR 2021,15-16,trial,A director reviewing confirmation trends should align decisions with:,Long-term institutional capacity,Short-term staffing gaps,External pressure,Personal preference,A,Strategic alignment ensures sustainability.,psr
PSR 2021,15-16,trial,Interdiction oversight at executive level requires:,Balancing fairness with institutional protection,Immediate dismissal,Salary elimination,Public silence,A,Executives must balance competing risks.,psr
PSR 2021,15-16,trial,A director strengthens administrative resilience by:,Standardizing enforcement frameworks,Reducing documentation,Limiting supervision,Delegating ethics externally,A,Frameworks stabilize operations.,psr
PSR 2021,15-16,trial,Executive accountability depends heavily on:,Documented decision trails,Personal authority,Political backing,Informal consensus,A,Documentation enables auditability.,psr
PSR 2021,15-16,trial,A director must intervene when disciplinary delays threaten:,Institutional credibility,Office logistics,Salary structures,Training schedules,A,Credibility depends on timely action.,psr
PSR 2021,15-16,trial,Strategic workforce planning requires directors to use:,Aggregated performance data,Personal intuition,External pressure,Random allocation,A,Data-driven strategy ensures effectiveness.,psr
PSR 2021,15-16,trial,Executive enforcement credibility increases when actions are:,Predictable and impartial,Selective and flexible,Confidential and informal,Politically negotiated,A,Predictability builds trust.,psr
PSR 2021,15-16,exam,A director tolerating inconsistent rule enforcement risks:,Systemic governance erosion,Immediate efficiency gains,Faster promotions,Reduced supervision,A,Inconsistency weakens institutions.,psr
PSR 2021,15-16,exam,Executive review of suspension systems should emphasize:,Risk mitigation and fairness,Cost reduction,Public image alone,Administrative speed,A,Executives manage institutional risk.,psr
PSR 2021,15-16,exam,A director ensures ethical culture by:,Embedding compliance mechanisms,Delegating ethics externally,Reducing oversight,Avoiding documentation,A,Mechanisms institutionalize ethics.,psr
PSR 2021,15-16,exam,Strategic confirmation oversight protects against:,Long-term inefficiency,Immediate salary growth,Office congestion,Training overload,A,Quality staffing prevents inefficiency.,psr
PSR 2021,15-16,exam,Executive leadership must audit disciplinary systems to:,Detect structural weaknesses,Increase bureaucracy unnecessarily,Delay investigations,Limit communication,A,Audits reveal systemic gaps.,psr
