source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,12-14,trial,A senior officer discovers procedural violations within a unit. The immediate leadership duty is to:,Initiate corrective administrative action,Ignore minor breaches,Transfer responsibility externally,Delay reporting,A,Senior officers must enforce compliance promptly.,psr
PSR 2021,12-14,trial,Accountability at senior management level primarily requires:,Transparent decision documentation,Informal verbal approvals,Delegation without oversight,External consultation,A,Documentation ensures traceability.,psr
PSR 2021,12-14,trial,A senior officer overseeing probation decisions must prioritize:,Merit-based evaluation,Personal loyalty,Political influence,Speed over accuracy,A,Merit protects institutional standards.,psr
PSR 2021,12-14,trial,Failure to enforce PSR consistently may result in:,Organizational instability,Increased efficiency,Automatic reform,Reduced supervision,A,Inconsistent enforcement weakens institutions.,psr
PSR 2021,12-14,trial,A senior manager reviewing suspension cases must ensure:,Proportional disciplinary response,Immediate dismissal,Salary elimination,Public disclosure,A,Discipline must match severity.,psr
PSR 2021,12-14,trial,Leadership responsibility during interdiction includes:,Protecting investigation integrity,Accelerating punishment,Avoiding communication,Reducing oversight,A,Integrity preservation is critical.,psr
PSR 2021,12-14,trial,Senior officers strengthen governance by:,Modeling rule compliance,Delegating ethics entirely,Limiting supervision,Reducing reporting,A,Leadership behavior influences culture.,psr
PSR 2021,12-14,trial,Effective senior management planning depends on:,Reliable administrative data,Personal intuition only,External pressure,Random decisions,A,Data supports sound planning.,psr
PSR 2021,12-14,trial,A Permanent Secretary ensures accountability through:,Structured reporting systems,Informal discussions,Personal discretion,External mediation,A,Systems enforce accountability.,psr
PSR 2021,12-14,trial,Senior officers handling confirmation cases must ensure:,Consistency and fairness,Speed alone,Political approval,Confidential favoritism,A,Fairness preserves trust.,psr
PSR 2021,12-14,exam,A senior manager ignoring probation failures risks:,Long-term institutional inefficiency,Immediate staff reduction,Faster promotions,Reduced supervision,A,Unsuitable retention harms efficiency.,psr
PSR 2021,12-14,exam,Effective disciplinary leadership requires:,Objective rule enforcement,Selective punishment,Personal discretion,External negotiation,A,Objectivity ensures justice.,psr
PSR 2021,12-14,exam,Senior officers maintain credibility by:,Applying PSR uniformly,Protecting colleagues unfairly,Avoiding documentation,Reducing transparency,A,Uniform application builds trust.,psr
PSR 2021,12-14,exam,A ministry’s operational integrity depends heavily on:,Senior management oversight,Temporary staffing,External consultants,Informal leadership,A,Oversight sustains integrity.,psr
PSR 2021,12-14,exam,Suspension decisions at senior level should emphasize:,Institutional protection,Public popularity,Political benefit,Cost reduction,A,Protection of service is primary.,psr
