source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR_2021,l17,exam,"At top management level, approval of specialized contract appointments must support:",National public service priorities,Personal discretion,Departmental convenience,Union preference,A,Top management ensures contract appointments align with national priorities.,psr
PSR_2021,l17,exam,Strategic oversight of workforce gaps at Level 17 focuses on:,Union balance,Personal workload,Long-term institutional capacity,Short-term staffing fixes,C,Level 17 officers focus on long-term institutional capacity.,psr
PSR_2021,l17,exam,Central manpower coordination requires Level 17 officers to enforce:,Departmental isolation,Union-led placement,Integrated staffing frameworks,Ad hoc decisions,C,Integrated staffing frameworks ensure national coordination.,psr
PSR_2021,l17,exam,Rejecting deployed officers at executive level threatens:,Local budgeting,Personal authority,System-wide workforce cohesion,Office independence,C,It undermines system-wide workforce cohesion.,psr
PSR_2021,l17,exam,Executive review of quarterly transfer reports strengthens:,Union elections,National human resource governance,Local autonomy,Salary negotiation,B,Reports support national HR governance.,psr
PSR_2021,l17,exam,Level 17 control of secondment ensures adherence to:,Budget cycles,Personal agreements,Statutory governance standards,Union tolerance,C,Secondment must follow statutory governance standards.,psr
PSR_2021,l17,exam,Performance accountability of seconded officers supports:,Union harmony,Salary equity,Executive oversight integrity,Personal relationships,C,Accountability preserves executive oversight integrity.,psr
PSR_2021,l17,exam,Top-level posting policies are designed to prevent:,Skill rotation,Institutional misuse of authority,Administrative growth,Policy alignment,B,Policies prevent misuse of authority.,psr
PSR_2021,l17,exam,Executive enforcement of relocation rules protects:,Equitable national standards,Ad hoc management,Personal negotiation,Union compromise,A,Relocation rules ensure equitable national standards.,psr
PSR_2021,l17,exam,Monitoring union tenure limits at executive level preserves:,Salary control,Permanent leadership,Governance stability,Reduced oversight,C,Tenure limits protect governance stability.,psr
PSR_2021,l17,exam,Level 17 authorization of acting appointments requires:,Internal discretion,Strict FCSC compliance,Union approval,Verbal agreement,B,Acting appointments require strict FCSC compliance.,psr
PSR_2021,l17,exam,Gazetting executive acting roles ensures:,Budget control,Union documentation,Internal secrecy,Public administrative accountability,D,Gazetting ensures accountability.,psr
PSR_2021,l17,exam,Certification of executive acting duties confirms:,Full strategic responsibility,Union representation,Limited authority,Temporary assistance,A,Certification confirms full responsibility.,psr
PSR_2021,l17,exam,Backdating restrictions at executive level guard against:,Salary delay,Union conflict,Administrative backlog,Governance abuse,D,Restrictions prevent governance abuse.,psr
PSR_2021,l17,exam,Extending executive acting appointments signals:,Routine staffing,Exceptional operational necessity,Union pressure,Budget shortage,B,Extensions occur only under exceptional necessity.,psr
PSR_2021,l17,exam,Formal executive handover ensures:,Personal convenience,Budget review,Union compliance,Continuity of national leadership,D,Handover maintains leadership continuity.,psr
